"","","Bulathkohupitiya","2018.10.30","2","10","","","","","2","","","","",""
"සබරගමුව","","කෑගල්ල","Tree Fallen /","","","","","","","","","","","",""
"","6","","","","","","","","","","","","","",""
"පලා /rg;uf","","Nffhiy Kegalle","Lightning","","","","","","","","","","","",""
"","","Warakapola","","2018.10.19/24
4","17","","","","","1","","","","",""
"Kt/","","","","","","","","","","","","","","",""
"Sabaragam","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6","27","0","0","0","0","3","0","0","0","0","0"
"uwa/","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6","27","0","0","0","0","3","0","0","0","0","0"
"","","Kalpitiya","2018.10.30
Lightning","1","4","","","","","1","","","","",""
"","","Wanathawilluwa","2018.10.31
Heavy Rain","6","20","","","","","6","","","","",""
"","","","Lightning","","","","1","","","","","","","",""
"වයඹ","","පුත් ලම","","","","","","","","","","","","",""
"","","Arachchikattuwa","","","","","","","","","","","","",""
"පලා /tlNk","7","Gj;jsk;","","100","322","","","","","","","","","",""
"y;","","Puttalam","","","","","","","","","","","","",""
"khfhzk;/","","Pallama","2018.11.01","25","91","","","","","1","3","","1","8","21"
"","","","Heavy Rain &","","","","","","","","","","","",""
"North","","","Flood","","","","","","","","","","","",""
"","","Karuwalagaswewa","","65","243","","","","","","","","","",""
"Western/","","","","","","","","","","","","","","",""
"","","Nawagaththegama","","35","128","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","232","808","0","1","0","0","8","3","0","1","8","21"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","232","808","0","1","0","0","8","3","0","1","8","21"
"","","Divulapitiya","Heavy Rain
2018.11.01","114","545","","","","1","2","","","","",""
"","","ගම්පහ","","","","","","","","","","","","",""
"Western/","8","","","","","","","","","","","","","",""
"Nky;","","fk;g`h  Gampaha","","","","","","","","","","","","",""
"","","Gampaha","Lightning
2018.11.01","1","3","","","","","1","","","","",""
"khfhzk;බස්","","","","","","","","","","","","","","",""
"නාහිර පලා","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","115","548","0","0","0","1","3","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","115","548","0","0","0","1","3","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","667","2569","0","4","0","4","146","15","0","4","16","59"
"","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
