"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 15th October 2025 at 0900hrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்","பிரிவு Administrative purview","","","","","","","","","","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","ආපදාව","ආරම්භක දිනය","","","බලපෑමට ලක්වු ghjpf;fg;gl;l","","","","","","","","","","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","","","","","","","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd miktplk;","","","","","",""
"","","","","","","","","","","","Affected","","","","","තුවාලවු 
පුද්ගලයින්","","අතුරුදහන්වූ","","","","Nrjkile;j tPLfs; 
Houses Damaged","","","","","Other Damages","","","","","","","","","","Safe Location","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mdu;j;jk;","","","","","","මිය යෑම්","","","පුද්ගලයින්","","","","","","","","","කුඩා හා මධය 
පරිමාණ වයාපාරික","","","","","","","ඉතා වැදගත්","","","","","","","","ලවනත් කරුණු",""
"පළාත khfhzk; 
Province","#","දිස්ත්‍රික්කය","","ප්‍රා.ලේ. ලකා","","","","Muk;gpj;j","","","","","","","kuzq;f","fhakil","","fhzhky;N","","","","","","","","","","","","","","","","යටිතල පහසුකම්","","","","","","","","NtW",""
"","","","","","","","mdHj;jk 
Disaster","jpfjp      
Date of","","","පවුේ ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්","","s; 
Deaths","","e;NjhH","ghNdhH 
Missing","","","","පූර්ණ 
හානි","","අර්ධ හානි","","","ස්ත්‍
රථාන சிறிய, 
நடுத்தர, 
நிறுவனங் க","","","","","","","වලට වූ හානි 
mbg;gilf;","","","ආරක්ිත 
ස්ත්‍
රථාන  ස්ත්‍ංඛ්‍යාව","","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","","Fwpg;Gf;f",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Remarks",""
"","","மாவட்டமD
istrict","","gpuNjr nra.gp DS 
Division","","","","commenced","","","FLk;gq;fs; 
Families","","","egHfs; 
People","","Injured 
People","","People","","","","KOik 
Fully","","","gFjpasT
 Partially","","சேதங் கள்","","ளின்","","","","","fl;likg;Gf;fs;  
Damages to","","","vz;zpf;ifN
o. of Safety","","FLk;gq;fs; 
Families","egHfs; 
Persons","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Small, Medium,","","","","","","","","","","Locations","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","critical","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enterprises 
Damages","","","","","","Infrastructure","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"බස්නොහිර පලොත","1","කළුතර","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fSj;Jiw 
Kalutara","","Beruwala","","","Landslides","2025.10.15","","","33","","","113","","","","","","","","","","4","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","","","","","33","","","113","0","0","","0","","","","0","","4","","","","","0","","","","","0","","","0","","0","0","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","කකොළඹ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western","2","nfhOk;G","","Rathmalana","","","Coastal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2025.10.14","","","3","","","12","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
"","","Colombo","","","","","Erosion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","","","","","3","","","12","0","0","","0","","","","0","","3","","","","","0","","","","","0","","","0","","0","0","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","","","","","","33","","","113","0","0","","0","","","","0","","4","","","","","0","","","","","0","","","0","","0","0","","",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","","","","","","","33","","","113","0","0","","0","","","","0","","4","","","","","0","","","","","0","","","0","","0","0","","",""
