"","Weather Forecast for Main Cities","","","Date :","17-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","25","90","70","Several spells of showers"
"Colombo","31","25","90","65","Showers or thundershowers after 2.00p.m"
"Galle","32","25","90","65","Showers or thundershowers after 2.00p.m"
"Jaffna","32","24","90","60","A few showers"
"Kandy","30","22","90","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","15","90","60","Several spells of showers"
"Ratnapura","32","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","24","95","70","Several spells of showers"
"Mannar","34","25","90","60","Showers or thundershowers after 2.00p.m"
