"","Weather Forecast for Main Cities","","","Date :","20-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","95","75","Several spells of showers"
"Colombo","31","26","95","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","25","95","65","Showers or thundershowers after 2.00p.m"
"Jaffna","35","25","95","60","Showers or thundershowers are likely after 4.00p.m"
"Kandy","31","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","15","95","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","70","Several spells of showers"
"Mannar","35","26","95","70","Showers or thundershowers are likely after 2.00p.m"
