"","Weather Forecast for Main Cities","","","","18-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","95","50","Mainly fair"
"Batticaloa","33","26","95","65","Mainly fair"
"Colombo","32","27","90","65","A few showers"
"Galle","32","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","33","26","95","60","Mainly fair"
"Kandy","34","23","90","50","Mainly fair"
"Nuwara-Eliya","22","13","95","75","Mainly fair"
"Ratnapura","34","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","34","26","95","65","Mainly fair"
"Mannar","34","26","90","65","Mainly fair"
