"","Weather Forecast for Main Cities","","","","2024-08-13"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","26","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","70","Showers or thundershowers"
"Galle","29","25","95","75","Showers or thundershowers"
"Jaffna","33","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","29","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","13","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","32","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","25","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","95","65","Showers or thundershowers after 2.00p.m"
