"","Weather Forecast for Main Cities","","","Date :","12-Sep-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","50","Mainly fair"
"Batticaloa","33","25","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","31","27","85","70","A few showers"
"Galle","30","27","85","75","Several spells of showers"
"Jaffna","32","27","85","70","Several spells of showers"
"Kandy","30","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","14","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","31","27","85","70","A few showers"
