"","Weather Forecast for Main Cities","","","Date :","3-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","25","95","65","Showers or thundershowers"
"","","","","","Showers or thundershowers after 2.00p.m, few showers may"
"Colombo","31","26","85","60",""
"","","","","","occur in morning too."
"Galle","31","26","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","33","25","90","65","Showers or thundershowers"
"Kandy","30","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","90","70","Showers or thundershowers"
"Mannar","32","26","85","65","Showers or thundershowers after 2.00p.m"
