"","Weather Forecast for Main Cities","","","Date :","30-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","50","Mainly fair"
"Batticaloa","35","27","85","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","90","75","A few showers"
"Galle","29","26","90","80","Several spells of light showers"
"Jaffna","34","26","90","60","Mainly fair"
"Kandy","29","20","90","60","A few showers"
"Nuwara-Eliya","23","15","95","60","A few showers"
"Ratnapura","35","24","90","60","Several spells of light showers"
"Trincomalee","36","26","90","50","Mainly fair"
"Mannar","33","26","90","60","Mainly fair"
