"","Weather Forecast for Main Cities","","","Date :","25-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","85","55","Mainly fair"
"Batticaloa","34","26","80","50","Mainly fair"
"Colombo","28","25","90","75","Showers at times"
"Galle","28","26","90","85","Showers at times"
"Jaffna","33","27","85","65","Mainly fair"
"Kandy","26","22","90","80","Showers at times"
"Nuwara-Eliya","16","13","95","90","Showers at times"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","34","25","80","50","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
