"","","முன்னறிவித்தல்","","","","",""
"","","","வவப்பநிலை (0C)","சாரீரப்பதன் (%)","","",""
"","நகரம்","","குலறந்","","குலறந்","","வானிலை"
"","","உச்ச","","உச்ச","","",""
"","","","த","","த","",""
"","","","","","","",""
"அனுராதபுரம்","","32","23","90","65","மழை அல்லது இடியுடன் கூடிய மழை பெய்யும்",""
"","","","","","","","ெி.ெ. 2.00 மணிக்குப் ெின்னர் மழை அல்லது இடியுடன் கூடிய"
"","","","","","","",""
"மட்டக்களப்பு","","31","25","90","70","",""
"","","","","","","மழை பெய்யும் சாத்தியம்",""
"","","","","","","",""
"வகாழும்பு","","31","24","95","70","ெிரதானமாக சீரான வானிழல",""
"","","","","","","",""
"காைி","","30","24","95","70","ெிரதானமாக சீரான வானிழல",""
"","","","","","","அவ்வப்பொது மழை அல்லது இடியுடன் கூடிய மழை",""
"","","","","","","",""
"யாழ்ப்பாணம்","","31","24","90","75","",""
"","","","","","","பெய்யும்",""
"","","","","","","","ெி.ெ. 2.00 மணிக்குப் ெின்னர் மழை அல்லது இடியுடன் கூடிய"
"","","","","","","",""
"கண்டி","","30","21","95","75","",""
"","","","","","","மழை பெய்யும் சாத்தியம்",""
"","","","","","","","ெி.ெ. 2.00 மணிக்குப் ெின்னர் மழை அல்லது இடியுடன் கூடிய"
"","","","","","","",""
"நுவவரைியா","","20","12","95","75","",""
"","","","","","","மழை பெய்யும் சாத்தியம்",""
"","","","","","","","ெி.ெ. 2.00 மணிக்குப் ெின்னர் மழை அல்லது இடியுடன் கூடிய"
"","","","","","","",""
"இரத்தினபுரி","","34","22","95","65","",""
"","","","","","","மழை பெய்யும் சாத்தியம்",""
"திருககாணம","","","","","","அவ்வப்பொது மழை அல்லது இடியுடன் கூடிய மழை",""
"","","31","24","90","65","",""
"லை","","","","","","பெய்யும்",""
"","","","","","","அவ்வப்பொது மழை அல்லது இடியுடன் கூடிய மழை",""
"","","","","","","",""
"மன்னார்","","32","24","95","70","",""
"","","","","","","பெய்யும்",""
