"","","","","","","","Water","","","","3 Hr RF in"
"","","","","","Minor","Major","","Level at","","Level",""
"River Basin","Tributory/River","","","Alert","","","Level at","","Remarks","","mm at"
"","","Station","Unit","","Flood","Flood","","12:00","","Rising or",""
"","","","","Level","","","11:00 am","","","","12.00 noon"
"","","","","","Level","Level","","noon","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","1.70","1.70","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","3.63","3.56","Normal","","0.0"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","11.27","11.17","Normal","","0.0"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.95","1.87","Normal","","0.0"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.66","0.65","Normal","","0.0"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.53","1.57","Normal","","1.8"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.75","0.74","Normal","","0.0"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.32","2.32","Normal","","0.0"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.34","8.33","Normal","","0.0"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","3.80","3.71","Normal","","0.0"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","2.59","2.50","Normal","","0.0"
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.69","5.67","Alert","Falling","0.0"
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.20","3.16","Normal","","0.0"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.02","1.95","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.17","1.12","Normal","","0.0"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","4.05","3.97","Normal","","0.0"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.04","0.99","Normal","","0.0"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.36","0.35","Normal","","0.0"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","2.43","2.45","Normal","","0.0"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.37","1.36","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.17","1.16","Normal","","0.0"
"(RB 103)","","","","","","","","","","",""
"Prepared by :","W.A.S. Saumya (H.D.S.)(Act)","","","","","","","","","",""
"Checked by :","","","","","","","","","","",""
