"","","","","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","13","51","0","0","","0","0","14","0","0","2","","9","33"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","","26","106","0","0","","0","0","27","0","0","2","","9","33"
"","කළුතර","","","","","","","","","","","","","","","","","",""
"","3
fSj;Jiw","Beruwala","Drowning","2020.07.13","","1","3","2","1","","","","","","","","","",""
"","Kalutara","","","","","","","","","","","","","","","","","",""
"Western","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","1","3","2","1","","0","0","0","0","0","0","","0","0"
"Nky; khfhzk","කකොළඹ","","","","","","","","","","","","","","","","","",""
"බස්ත්‍රනොහිර පලොත","4
nfhOk;G","Kaduwela","Fire","2020.07.20","","","","","","","","","","1","","","","",""
"","Colombo","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","0","0","0","0","","0","0","0","1","0","0","","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","","1","3","2","1","","0","0","0","1","0","0","","0","0"
"","වව්නියොව","","","","","","","","","","","","","","","","","",""
"","5
tTdpah","Vavuniya North","High Wind","2020.07.20","","10","33","1","3","","","","7","1","","","","","Child death due to tree fallen"
"","Vavuniya","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","10","33","1","3","","0","0","7","1","0","0","","0","0"
"","","Welioya","Elephant Attack","2020.07.26","","1","1","1","","","","","","","","","","",""
"","මුලතිව්න","","","","","","","","","","","","","","","","","",""
"","6
Ky;iyj;jPT","","","2020.07.27","","1","3","","","","","","1","","","","","",""
"","Mulaitivu","Puthukudiyirippu","High Wind","","","","","","","","","","","","","","","",""
"","","","","2020.07.28","","1","4","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","3","8","1","0","","0","0","1","0","0","0","","0","0"
"","","Karainagar","Drowning","2020.07.23","","1","1","","","","1","","","","","","","",""
"උතුරු පලොත      tl","","Delft","","","","1","6","","","","","","","1","","","","",""
"","","","","2020.07.26","","","","","","","","","","","","","","",""
"khfhzk; Northen","යොපනය","Sandilippai","","","","1","1","","","","","","1","","","","","",""
"","","","High Wind","","","","","","","","","","","","","","","",""
"","7
aho;g;ghzk;","","","2020.07.27","","1","5","","","","","","1","","","","","",""
"","","Velanai","","","","","","","","","","","","","","","","",""
"","Jaffna","","","2020.07.29","","1","7","","","","","","1","","","","","",""
"","","Chankanai","","2020.07.29","","1","3","","","","","","1","","","","","",""
"","","Koppay","","2020.07.28","","1","3","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","7","26","0","0","","1","0","5","1","0","0","","0","0"
"","මන්නොරම","","","","","","","","","","","","","","","","","",""
"","","","Large Honeybees","","","","","","","","","","","","","","","",""
"","8
kd;dhH","Manthai West","","2020.07.24","","30","30","","30","","","","","","","","","",""
"","","","Attacks","","","","","","","","","","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","30","30","0","30","","0","0","0","0","0","0","","0","0"
