"Padukka","","3","9","","","","","3"
"Western      Nky;","","","","","","","",""
"Moratuwa","","69","242","","","","","68"
"khfhzk","","","","","","","",""
"Dehiwela
බස෇න෈හිර ප඼෈ත","","5","21","","","","","5"
"Homagama","","9","29","","","","","9"
"","High Wind","","","","","","",""
"Rathmalana","","67","317","","","","","67"
"නකොළඹ","","","","","","","",""
"23
nfhOk;G 
Kaduwela","2019.07.18","5","25","","","","","5"
"Colombo","","","","","","","",""
"Kesbewa","","13","59","","","","","13"
"","","24","54","","","","","24"
"Thimbirigasyaya","","","","","","","",""
"","","0","0","","","","","2"
"","Tree Fallen","","","","","","",""
"","","0","0","","","","","1"
"Kolonnawa","","","","","","","",""
"","High Wind","54","0","","","","","54"
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","249","756","0","0","0","0","251"
