"","Weather Forecast for Main Cities","","","Date :","26-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","22","95","60","Mainly fair"
"Batticaloa","29","24","95","70","A few showers"
"Colombo","32","23","90","55","Mainly fair"
"Galle","30","23","90","70","Mainly fair"
"Jaffna","31","24","95","65","Mainly fair"
"Kandy","32","17","95","60","Mainly fair"
"Nuwara-Eliya","20","14","70","50","Mainly fair"
"Ratnapura","34","21","95","55","Mainly fair"
"Trincomalee","29","23","95","60","A few showers"
"Mannar","31","23","90","60","Mainly fair"
