"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"28.11.24/0530","9.1/82.1","55-65 gusting to 75","Deep Depression"
"28.11.24/1130","9.6/82.0","55-65 gusting to 75","Deep Depression"
"28.11.24/1730","10.0/81.8","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/2330","10.4/81.6","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/0530","10.7/81.3","60-70 gusting to 80","Cyclonic Storm"
"29.11.24/1730","11.3/80.7","55-65 gusting to 75","Deep Depression"
"30.11.24/5300","11.7/80.1","50-60 gusting to 70","Deep Depression"
"30.1124/1730","12.1/79.5","40-50 gusting to 60","Depression"
