"","Fire","","1","5","","","","","1"
"නුවරඑලිය","","2022.10.19","","","","","","",""
"13
Etnuypah","","","1","2","","","","","1"
"Kothmale
Nuwara Eliya","Heavy Rain","","","","","","","",""
"","","","1","5","","","","","1"
"","","2022.10.21","","","","","","",""
"","Landslide","","1","2","","","","","1"
"","","2022.10.19","2","5","","","","","2"
"","Cutting Failure","","","","","","","",""
"Ambgamuwa","","2022.10.24","1","6","","","","",""
"","Landslide","2022.10.21","3","8","","","","","2"
"Walapane","Cutting Failure","2022.10.24","1","7","","","","","1"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","29","126","0","0","0","0","23"
