"","","","","","","Water","Water","","","24 Hr RF"
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.01","0.01","Normal","","0.0"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","0.07","0.03","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.14","-2.16","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","2.48","2.65","Normal","","4.8"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","2.10","1.99","Normal","","42.1"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.14","0.14","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.30","1.30","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.40","0.40","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","0.42","0.37","0.37","Normal","","5.9"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.25","0.25","Normal","","2.2"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.01","0.01","Normal","","15.1"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","1.89","1.89","Normal","","38.4"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","0.89","0.89","Normal","","39.4"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.70","0.71","Normal","","36.1"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
H.P.S.W.Gunawardhana (H.A)","","","","","","","","","",""
"Checked by :
W.A.S.Saumya (H.D.S.)(Act)","","","","","","","","","",""
