"","Weather Forecast for Main Cities","","","","31-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","34","27","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","28","90","75","Showers at times"
"Galle","30","25","90","80","Showers at times"
"Jaffna","34","28","90","70","Mainly fair"
"Kandy","28","24","95","85","Showers at times"
"Nuwara-Eliya","19","16","95","90","Showers at times"
"Ratnapura","31","25","95","80","Showers at times"
"Trincomalee","34","27","85","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","90","75","Mainly fair"
