"","Weather Forecast for Main Cities","","","Date :","19-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","60","Mainly fair"
"Batticaloa","34","27","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","24","95","75","Several spells of showers"
"Galle","30","24","90","80","Several spells of showers"
"Jaffna","32","28","85","75","Mainly fair"
"Kandy","28","22","90","70","Several spells of showers"
"Nuwara-Eliya","17","15","95","85","Several spells of showers"
"Ratnapura","32","23","95","70","Several spells of showers"
"Trincomalee","35","26","80","50","Mainly fair"
"Mannar","31","28","85","75","Mainly fair"
