"","Weather Forecast for Main Cities","","","Date :","14-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","23","95","75","Showers at times"
"Batticaloa","27","24","95","85","Showers or thundershowers at times"
"Colombo","28","24","95","60","Showers or thundershowers after 2.00p.m"
"Galle","28","24","90","80","Showers or thundershowers after 2.00p.m"
"Jaffna","28","24","95","75","Showers at times"
"Kandy","23","21","95","85","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","17","14","95","85","Showers or thundershowers at times"
"Ratnapura","28","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","23","95","85","Showers or thundershowers at times"
"Mannar","28","25","95","80","Showers or thundershowers at times"
