"","kd;dhH      
4","Madhu","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","",""
"","Mannar","","Lightning","2023.04.25","1","3","1","","","","",""
"tl khfhzk;","","","","","","","","","","","",""
"Northen","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","4","1","0","0","0","1","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","4","1","0","0","0","1","0"
"","","Dehiowita","Tree Fallen","2023.04.26","2","8","","","","","2",""
"","","Bulathkohupitiya","High Wind","2023.04.25","2","11","","","","","2","1"
"","","","High Wind","2023.04.25","1","3","","","","","1",""
"","","Aranayake","High Wind","2023.04.27","2","11","","","","","2",""
"","","","Lightning","2023.04.25-26","3","13","","","","","3",""
"","","Kegalle","Tree Fallen","2023.04.26","4","13","","","","","4",""
"","කෑගල්ල","Rambukkana","High Wind","2023.04.25","2","5","","","","","2",""
"","Nffhiy     
5","","Tree Fallen","2023.04.25","2","5","","","","","2",""
"","Kegalle","","","","","","","","","","",""
"","","","High Wind","2023.04.26","11","43","","","","","11","2"
"","","Warakapola","","","","","","","","","",""
"සබරගමුව පලාත","","","Lightning","2023.04.25-26","2","8","","","","","2",""
"rg;ufKt","","","High Wind","2023.04.25-26","2","10","","","","","3",""
"Sabaragamuwa","","Ruwanwella","Lightning","2023.04.26","1","4","","","","","1",""
"","","","Tree Fallen","2023.04.26","1","5","","","","","1",""
"","","","Lightning","2023.04.24","2","7","","","","","2",""
"","","Mawanella","","","","","","","","","",""
"","","","Tree Fallen","2023.04.26","1","5","","","","","1",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","38","151","0","0","0","0","39","3"
