"ත්‍රීකුණොමලය","","","","","","","","","","","","",""
"Muthur
High Wind
jp.kiy","2024.07.05","1","5","","","","","1","","","","",""
"ැනග හිර පලොත","","","","","","","","","","","","",""
"Trincomalee
fpof;F","","","","","","","","","","","","",""
"Eastern
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","5","0","0","0","0","1","0","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","1","5","0","0","0","0","1","0","0","0","0","0"
"කළුතර","","","","","","","","","","","","",""
"Palindanuwara
High Wind
fSj;Jiw","2024.07.05","1","1","","","","","","1","","","",""
"Western","","","","","","","","","","","","",""
"Kalutara
Nky; khfhzk","","","","","","","","","","","","",""
"බස්ත්‍ර ොහිර පලොත","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","1","0","0","0","0","0","1","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","1","1","0","0","0","0","0","1","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","290","950","0","0","0","0","50","1","0","4","16","81"
"","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
