"","Weather Forecast for Main Cities","","","Date :","29-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","55","Several spells of showers"
"Batticaloa","29","24","90","75","Several spells of showers"
"Colombo","31","23","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","90","70","A few showers"
"Kandy","28","20","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","18","12","90","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","22","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","24","95","70","Several spells of showers"
"Mannar","31","24","90","65","A few showers"
