"","","මඩකලපුව","Porathivupattu","High Wind","2021.05.20-21
2","8","","","","","2","","","","",""
"","6","kl;lf;fsg;G","","","","","","","","","","","","","",""
"","","Batticaloa","Koralaipattu","High Wind
2021.05.26","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","12","0","0","0","0","3","0","0","0","0","0"
"","","","Kanthale","","5","21","","","","","5","","","","",""
"","","","Seruwila","","10","38","","","","","10","","","","",""
"","","","Kuchchaweli","","3","10","","","","","2","1","","","",""
"ැනග හිර","","","","","","","","","","","","","","","",""
"පලාත  fpof;F","","ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","","","Town & Gravets","","2021.05.21-27
8","28","","","3","","5","","","","",""
"Eastern","7","jp.kiy","","High Wind","","","","","","","","","","","",""
"","","Trincomalee","Thambalakamam","","2","10","","","","","2","","","","",""
"","","","Gomarankadawala","","4","16","","","","","4","","","","",""
"","","","Kinniya","","4","13","","","","","4","","","","",""
"","","","Verugal","2021.05.26","1","2","","","","1","4","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","37","138","0","0","3","0","36","1","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","40","150","0","0","3","0","39","1","0","0","0","0"
"","","ගාල්ල","","","","","","","","","","","","","",""
"දකුනු පලාත","8","fhyp","Kadawath Sathara","Missing at Sea
2021.05.24","","1","1","","","","","","","","",""
"njd;","","Galle","","","","","","","","","","","","","",""
