"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","Damages","","","",""
"","","Bandaragama","","","1","6","","","","","","","","","",""
"","කළුතර","Walallawita","","","1","4","","","","","","","","","",""
"","","","Heavy Rain & High","","","","","","","","","","","","",""
"","1
fSj;Jiw","","","2023.05.05","","","","","","","","","","","",""
"","","Ingiriya","Wind","","2","5","","","","","2","","","","",""
"","Kalutara","","","","","","","","","","","","","","",""
"","","Kalutara","","","12","44","","","","","12","","","","",""
"Western","","Millaniya","","","5","17","","","","","","","","","",""
"Nky; khfhzk;","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","21","76","0","0","0","0","14","0","0","0","0","0"
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","",""
"","ගකාළඹ","","","","","","","","","","","","","","",""
"","","Kesbewa","","","1","4","","","","","1","","","","",""
"","2
nfhOk;G","","Heavy Rain","2023.05.09","","","","","","","","","","","",""
"","Colombo","Padukka","","","4","21","","","","","4","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","25","0","0","0","0","5","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","26","101","0","0","0","0","19","0","0","0","0","0"
"","","","Landslide","2023.03.19","71","242","","6","","3","37","2","","1","71","242 Mahakanda Tea Factory"
"","","Haldummulla","","","","","","","","","","","","","",""
"","","","Cutting Failure","2023.05.04","1","4","","","","","1","","","","",""
"","","","High Wind","2023.05.02","1","4","","","","","1","","","","",""
"","","Ridimaliyadda","","","","","","","","","","","","","",""
"","","","Heavy Rain","2023.05.04","1","2","","","","","1","","","","",""
"","","","","2023.05.03","1","4","","","","","1","","","","",""
"","","","Cutting Failure","","","","","","","","","","","","",""
"","","Passara","","2023.05.04","4","15","","","","","4","","","","",""
"","බදුල්ල","","","","","","","","","","","","","","",""
"","gJs;is   
3","","Landslide Risk","2023.05.04","11","41","","","","","","","","1","11","41 Bibilegama Child Protection"
"","","","","","","","","","","","","","","","","Center"
"ඌව","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","Welimada","Heavy Rain & Wind","2023.05.04","5","26","","","","","5","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"","","Badulla","Heavy Rain & Wind","2023.05.04","25","87","","","","","11","","","","",""
"","","","Cutting Failure","2023.05.04","5","14","","","","","5","","","","",""
"","","Lunugala","","","","","","","","","","","","","",""
"","","","Heavy Rain","2023.05.04","3","20","","","","","3","","","","",""
"","","","Lightning","2023.05.06","1","4","","","","","1","","","","",""
"","","Hali Ela","","","","","","","","","","","","","",""
"","","","Heavy Rain","2023.05.04","3","14","","","","","3","","","","",""
"","","Haputale","Cutting Failure","2023.05.04","1","4","","","","","1","","","","",""
"","","Soranathota","Heavy Rain & Wind","2023.05.04","9","33","","","","","9","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","142","514","0","6","0","3","83","2","0","2","82","283"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","142","514","0","6","0","3","83","2","0","2","82","283"
"","","Seruwila","","2023.05.01","1","4","","","","","1","","","","",""
"","","Thampalagamuwa","","2023.05.09","14","47","","","","","13","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","","","High Wind","2023.05.06","1","4","","","","","1","","","","",""
"","4
jp.kiy","Muthur","","","","","","","","","","","","","",""
"නැගෙනහිර පලාත","","","","","","","","","","","","","","","",""
"","Trincomalee","","","2023.05.10","1","2","","","","","1","","","","",""
"fpof;F","","","","","","","","","","","","","","","",""
"Eastern","","","","2023.05.07","1","4","","","","","1","","","","",""
"","","Kinniya","","","","","","","","","","","","","",""
"","","","","2023.05.09","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","19","65","0","0","0","0","18","0","0","0","0","0"
