"","ituation:  Reported  rainfall  from  08.30  a.m.  on  06.09.2023  to  08.30  a.m.  on  07.09.2023"
"given below.",""
"Automatic weather station","Rainfall(mm)"
"Warakapola (Kegalle district)","60.5"
"Kirindiwela (Gampaha district)","54.0"
"Katunayake (Gampaha district)","49.0"
"Padukka (Colombo district)","90.0"
"Deniyaya ( Mathara  district)","80.5"
