"","","","","","","Page 3","","","","","","","","",""
"","","Pallama","2020.10.13","1","4","","","","","1","","","","",""
"","පුත්තලම","Chilaw","2020.10.14","1","3","","","","","1","","","","",""
"","10
Gj;jsk;","High Wind","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"","Puttalam","Mahakumbukkadawala","2020.10.14","1","3","","","","","1","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","",""
"North Western","","Dankotuwa","2020.10.14","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","14","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","14","0","0","0","0","4","0","0","0","0","0"
"","","Biyagame","","23","95","","","","1","22","","","","",""
"","","Nigambo","","2","8","","","","","2","","","","",""
"","","","2020.10.14","","","","","","","","","","","",""
"","","Minuwangoda","","5","22","","","","","5","","","","",""
"","ගම්පහ/fk;g`h/Ga","Kelaniya","","11","41","","","","","11","","","","",""
"","11","High Wind","","","","","","","","","","","","",""
"Western/ Nky;","mpaha","","","","","","","","","","","","","",""
"","","Mahara","","94","341","","","","1","90","","","","",""
"khfhzk;බස්ත්‍රනාහිර","","","2020.10.13","","","","","","","","","","","",""
"","","Attanagalle","","2","9","","","","","2","","","","",""
"පලාත","","","","","","","","","","","","","","",""
"","","Katana","","6","17","","","","","6","","","","",""
"","","","2020.10.14","","","","","","","","","","","",""
"","","Wattale","","32","130","","","","","32","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","175","663","0","0","0","2","170","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","175","663","0","0","0","2","170","0","0","0","0","0"
"","","Thamankaduwa","","3","9","","","","","2","1","","","",""
"","","Medirigiriya","","4","16","","","","","4","","","","",""
"","්පා්ලානනරුව/ng","","","","","","","","","","","","","",""
"උතුරුමැද","12
hyd;dWit/Polo","High Wind
Dimbulagala","2020.10.112/13","8","24","","","","","6","2","","","",""
"පලාත/tlkj;jpa","nnaruwa","","","","","","","","","","","","","",""
"","","Hingurakgoda","","3","7","","","","","2","1","","","",""
"khfhzk;/ North","","","","","","","","","","","","","","",""
"Central/","","Welikanda","","3","13","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","21","69","0","0","0","0","17","4","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","21","69","0","0","0","0","17","4","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","402","1528","0","1","0","19","338","7","0","2","27","109"
