"","","","","","","","Page 2","","","","","","","","",""
"","","","","2020.09.30","1","3","","","","","","1","","","",""
"","","Ambalanthota","","","","","","","","","","","","","",""
"","","","High Wind","2020.10.07","1","5","","","","","1","","","","",""
"","හම්බන්තාට","","","","","","","","","","","","","","",""
"4","`k;ghe;Njhl;il","","","2020.10.11","1","1","","","","","","1","","","",""
"","Hambantota","Beliatta","","","","","","","","","","","","","",""
"","","","Fire","2020.10.10","1","2","","","","","1","","","","",""
"","","Walasmulle","High Wind","2020.10.13","3","8","","","","","3","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","7","19","0","0","0","0","5","2","0","0","0","0"
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"Southern","","","Tree Fallen","","1","6","","","","","1","","","","",""
"","ගාල්ල","Elpitiya","","","","","","","","","","","","","",""
"5","fhyp","","","2020.10.12","1","5","","","","","1","","","","",""
"","Galle","","High Wind","","","","","","","","","","","","",""
"","","Welivita - Divithura","","","2","4","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","4","15","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","11","34","0","0","0","0","9","2","0","0","0","0"
"","","Eravurpattu, Chenkalady","","2020.10.11","1","5","","","","","1","","","","",""
"","","","","2020.10.12","2","11","","","","","2","","","","",""
"","මඩකලපුව","Porathivupattu, Vellavely","","","","","","","","","","","","","",""
"6","kl;lf;fsg;G","","High Wind","2020.10.13","3","9","","","","","3","","","","",""
"","Batticaloa","","","","","","","","","","","","","","",""
"","","Koralaipattu North","","","5","16","","","","","5","","","","",""
"","","","","2020.10.14","","","","","","","","","","","",""
"","","Koralaipattu South","","","2","5","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","13","46","0","0","0","0","13","0","0","0","0","0"
"නැ්ගනහිර පලාත","","","","","","","","","","","","","","","",""
"","","Seruvila","","","1","4","","","","","1","","","","",""
"fpof;F","","","","","","","","","","","","","","","",""
"Eastern","","Muthur","","","5","14","","","","","5","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","","Verugal","","","1","4","","","","","1","","","","",""
"7","jp.kiy","","High Wind","2020.10.10/13","","","","","","","","","","","",""
"","Trincomalee","Thapalakamam","","","1","4","","","","","1","","","","",""
"","","Kanthale","","","1","4","","","","","1","","","","",""
"","","Kinniya","","","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","10","35","0","0","0","0","10","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","23","81","0","0","0","0","23","0","0","0","0","0"
"","","","","2020.10.12","7","24","","","","","6","","","","",""
"","","","High Wind","","","","","","","","","","","","",""
"","","Warakapola","","2020.10.14","1","2","","","","","1","","","","",""
"","","","Tree Fallen","2020.10.14","2","9","","","","","2","","","","",""
"","","","","2020.10.11.12","2","9","","","","","2","","","","",""
"","","Mawanella","Tree Fallen","","","","","","","","","","","","",""
"","","","","2020.10.14","1","3","","","","","1","","","","",""
"","","","Lightning","2020.10.11","1","4","","","","","","","","","",""
"","","Dehiowita","","","","","","","","","","","","","",""
"","","","Tree Fallen","2020.10.11","5","19","","","","","","","","","",""
"","","","Tree Fallen","2020.10.10.11","2","8","","","","","","","","","",""
"","","Ruwanwella","High Wind","2020.10.11","1","2","","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","",""
"8","Nffhiy","","Heavy Rain","2020.10.11","1","2","","","","","","1","","","",""
"","Kegalle","Deraniyagala","High Wind","2020.10.11","1","4","","","","","1","","","","",""
"","","","","2020.09.30-","","","","","","","","","","","",""
"","","Galigamuwa","Tree Fallen","","2","5","","","","","1","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","10.01","","","","","","","","","","","",""
"rg;ufKt","","","","2020.10.08-","","","","","","","","","","","",""
"Sabaragamuwa","","Aranayaka","Tree Fallen","","10","35","","","","","3","","","","",""
"","","","","10.11.13","","","","","","","","","","","",""
"","","","","2020.09.25-","","","","","","","","","","","",""
"","","Yatiyanthota","","","11","51","","","","","11","","","","",""
"","","","","10.11","","","","","","","","","","","",""
"","","","High Wind","2020.10.14","4","17","","","","3","1","","","","",""
"","","","","2020.10.12","2","11","","","","","2","","","","",""
"","","Bulathkohupitiya","","","1","4","","","","","1","","","","",""
"","","","","2020.10.14","","","","","","","","","","","",""
"","","","Landslide Risk","","1","3","","","","","","","","","",""
"","","Kegalle","Tree Fallen","2020.10.14","1","1","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","56","213","0","0","0","3","33","1","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","56","213","0","0","0","3","33","1","0","0","0","0"
"","රත්නපුර","","","","","","","","","","","","","","",""
"9",",uj;jpdGhp","Balangoda","Rock Fallen Risk","2020.10.12","15","55","","","","","","","","1","15",""
"","Rathnapura","","","","","","","","","","","","","","",""
