"","Weather Forecast for Main Cities","","","Date :","9-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","70","Several spells of light showers"
"Batticaloa","29","24","95","80","Several spells of showers"
"Colombo","32","24","90","65","Mainly fair"
"Galle","29","25","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","75","A few showers"
"Kandy","30","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","19","12","95","60","Several spells of light showers"
"Ratnapura","34","23","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","24","90","75","Several spells of showers"
"Mannar","30","25","90","75","A few showers"
