"","","khtl;lk ;","","","FLk;gq;f","egHfs;","","Injured","Missin","","","","","","","FLk;gq;","egHfs;"
"","","","nra.gp    DS Division","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","","if","",""
"","","District","","","s;","People","","People","g","","","","","","","fs;","Persons"
"","","","","","","","","","","","Partiall","Small, Medium,","Damages to","","Safety","",""
"","","","","","","","","","","Fully","","","","","","",""
"","","","","","Families","","","","People","","","","","","","Families",""
"","","","","","","","","","","","y","Enterprises","critical","","Location","",""
"","","","","","","","","","","","","Damages","Infastructure","","","",""
"","","","","","","","","","","","","","","","s","",""
"","","","Bamunukotuwa","2018.10.01","1","4","","","","","1","","","","","",""
"","","","Narammala","2018.10.01","1","8","","","","","1","","","","","",""
"","","කුරුණෑෙල","","","","","","","","","","","","","","",""
"","","","Kuliyapitiya West","2018.10.01","7","26","","","","","7","","","","","",""
"","1","FUdhfy;","High Wind","","","","","","","","","","","","","",""
"","","Kurunegala","","2018.09.27","","","","","","","","","","","","",""
"","","","Kurunegala","","6","23","","","","","6","1","","","","",""
"","","","Panduwasnuwara West","2018.10.01","11","31","","","","","11","2","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","26","92","0","0","0","0","26","3","","0","0","0","0"
"","","","Mahawewa","","10","18","","","","","","","","","","",""
"වයඹ","","","","","","","","","","","","","","","","",""
"","","","Wanathavilluwa","Rain & Flood
2018.10.06","","","","","","","","","","","","",""
"පලාත/tlNk","","","","","","","","","","","","","","1 1","","",""
"y;","","","","","","","","","","","","","","","","",""
"","","","Nawagaththegama
High Wind","2018.10.05","11","41","","","","","9","1","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","",""
"","","","","","126","550","","","","","126","","","","","",""
"North","","පුත්තලම","","","","","","","","","","","","","","",""
"","","","Mahakumbukkadawala","","386","1328","","","","","386","68","","","","",""
"Western/","2","Gj;jsk;","","2018.10.01","","","","","","","","","","","","",""
"","","","High Wind
Pallama","","146","482","","","","1","117","28","","","","",""
"","","Puttalam","","","","","","","","","","","","","","",""
"","","","Karuwalagaswewa","","7","26","","","","","7","","","","","",""
"","","","Arachchikattuwa","","1","4","","","","","1","","","","","",""
"","","","High Wind","2018.10.01","","","","","","","","","","","","",""
"","","","Chilaw","","1","5","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","688","2454","0","0","0","1","647","97","","2","0","0","0"
