"Lightning","2022.12.04","2","8","","","","","2","","","","",""
"Meerigama","","","","","","","","","","","","",""
"Heavy Rain","2022.12.04","2","7","","","","","2","","","","",""
"ගම්පහ","","","","","","","","","","","","",""
"fk;g`h    
18
Negambo","Heavy Rain & Wind
2022.12.10","21","71","","","","","21","","","","",""
"Western","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","",""
"Nky; khfhzk; 
Wattala
High Wind","2022.12.10","20","78","","","","","19","","","","",""
"බස්ත්‍රනාහිර පලාත
Katana
Tree Fallen","2022.12.10","1","5","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","46","169","0","0","0","0","45","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","46","169","0","0","0","0","45","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","7197","25253","3","25","1","6","6698","66","42","0","0","0"
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
