"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","37","27","95","40","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","33","26","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"යකාළඹ","34","27","90","60",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"ගාල්ල","32","27","90","75",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"යාපනය","36","26","85","50",""
"","","","","","ැක"
"ම නුවර","35","23","90","50","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","25","12","95","50","ප්‍රධාන වශයයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"රත්නපුරය","37","25","95","60",""
"","","","","","ැක"
"ත්‍රිකුණාමලය","35","26","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මන්නාරම","35","27","90","60",""
"","","","","","ැක"
