"","දිස්ත්‍රික්කය","","","","","හානි"
"","","gpuNjr nra.gp     DS","","FLk;gq;fs;","People
egHfs;","People
gFjpasT"
"","மாவட்டம் District","","","","","KOik"
"","","","","Families","People","Partially"
"","","Division","","","","Fully"
"","","Rathnapura","","71","281","26"
"","","Ayagama","","22","71
1","8"
"","","Kolonna","","8","26","8"
"","","Godakawela","","14","62","1
10"
"","","Nivithigala","","10","28","10"
"","","Kahawatta","","10","34","10"
"","","Eheliyagoda","","6","25","6"
"","රත්නපුර","Elapatha","Tree Fallen/Cutting","81","305","9"
"","","","2023.09.27 to","","",""
"1","uj;jpdGhp","Kuruvita","Failure Risk/Heavy","41","162","13"
"","","","2023.10.08","","",""
"","Rathnapura","Kalawana","Rain/Flood","12","40","6"
"","","Pelmadulla","","14","57","14"
"","","Opanayake","","4","13","1"
"","","Kiriella","","25","95","1
4"
"","","Weligepola","","2","10","1"
"","","Balangoda","","2","7","2"
