"Elle","","26","101","","","","","","","","3","26",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","253","982","0","0","0","0","0","0","0","12","252","982"
"Bibila","","62","183","","","","","5","","","1","62","183"
"Katharagama","","432","1575","","","","","10","","","","",""
"Siyambalanduwa","","16","72","","","","","16","","","","",""
"Thanamalvila","","25","85","","","","","25","","","","",""
"ම ොනරොගල","","","","","","","","","","","","",""
"nkhdwhfiy 
2
Flood
Buththala","2019.12.21","91","336","","","","","43","","","","",""
"Moneragala","","","","","","","","","","","","",""
"Monaragala","","299","901","","","","4","51","","","1","36","113"
"Medagama","","14","43","","","","","5","","","1","14","43"
"Badalkumbura","","26","119","","","","","","","","","",""
"Wellawaya","","8","36","","","","","8","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","973","3350","0","0","0","4","163","0","0","3","112","339"
"පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","1226","4332","0","0","0","4","163","0","0","15","364","1321"
"Manmunai North","2019.12.18","2","7","","","","1","1","","","","",""
"Koralaipattu West","2019.12.22","756","2712","","","","","","","","","",""
"Koralaipattu North","2019.12.21","36","99","","","","","","","","","",""
"ඩකලපුව","","","","","","","","","","","","",""
"Koralaipattu South","2019.12.19","1020","3316","","","","","","","","","",""
"3
kl;lf;fsg;G 
Flood","","","","","","","","","","","","",""
