"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","26","85","70","වැසි වාර කිහිපයක්"
"මඩකලපුව","36","27","85","50","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","30","26","85","75","විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"ගාල්ල","29","24","90","80","විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"යාපනය","32","28","80","7575","වැසි ස්වල්පයක්"
"ම නුවර","28","24","85","80","විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"නුවරඑළිය","18","16","95","80","විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"රත්නපුරය","31","25","95","65","විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"ත්‍රිකුණාමලය","33","27","80","65","ප්‍රධාන වශයයන් වැසි රහිත"
