"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","24","90","60","ප්‍රධාන වශතයන් වැසි රහිත"
"මඩකලපුව","32","25","90","65","ප්‍රධාන වශතයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"තකාළඹ","31","25","90","65",""
"","","","","","හැක"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"ගාල්ල","28","25","95","75",""
"","","","","","හැක"
"යාපනය","31","24","90","75","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"මහනුවර","29","21","90","70",""
"","","","","","හැක"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"නුවරඑළිය","22","14","95","70",""
"","","","","","හැක"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"රත්නපුරය","31","24","95","65",""
"","","","","","හැක"
"ිකුණාමලය","31","25","85","70","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය"
"මන්නාරම","30","25","90","70",""
"","","","","","හැක"
