"","","කිලිනනාච්චිය","","","","","","","","","","","","","","","","","Drinking water is being"
"","3","fpspnehr;rp","Karachchi","Drought","","2024.04.17","432","946","","","","","","","","","","","distributed for drought"
"උතුරු පලාත","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","areas"
"","","Killinochchi","","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","432","946","0","0","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","","432","946","0","0","0","0","0","0","0","0","0","0",""
"","","","Walallavita","","","2024.06.01/02","81","282","","1","","","24","","","1","10","31",""
"","","","Mathugama","","","2024.06.01/02","515","1789","","","","","12","","","2","62","206",""
"","","","Palindanuwara","","","2024.06.01/02","474","1730","","","","1","15","","","2","21","67",""
"","","","Bulathsinghla","","","2024.06.01/02","668","2623","","","","","1","","","10","49","194",""
"","","කළුතර","Dodangoda","","","2024.06.01/02","127","422","","","","","107","","","2","9","28",""
"","","","","Flood/ Cutting","","","","","","","","","","","","","","",""
"","4","fSj;Jiw","Horana","","","2024.06.01/02","33","124","","","","","6","","","1","4","15",""
"","","","","","faliture/Landslide Risk","","","","","","","","","","","","","",""
"","","Kalutara","Madurawela","","","2024.06.01/02","129","507","","","","","1","","","3","7","27",""
"","","","Millaniya","","","2024.06.01/02","238","811","","","1","3","","","","5","94","362",""
"","","","Ingiriya","","","2024.06.01/02","524","2007","","1","","1","9","","","1","6","32",""
"","","","Agalawattha","","","2024.06.01/02","45","424","","","","1","4","","","","","",""
"","","","Kalutara","","","2024.06.01/02","62","234","","","","","3","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","2896","10953","0","2","1","6","182","0","0","27","262","962",""
"","","","Biyagama","","","2024.06.02","3921","16927","","","","","","","","1","5","23",""
"","","","Kelaniya","","","2024.06.02","2593","12145","","","","","4","","","1","5","23",""
"","","","Mahara","","","2024.06.02","291","1078","","","","","14","3","","","","",""
"","","","Dompe","","","2024.06.02","741","2748","1","","","","15","2","","4","335","1298",""
"","","","Attanagalla","","","2024.06.02","1190","4722","","","","","4","","","","","",""
"Western","","","Gamnpaha","","","2024.06.02","1910","7266","","","","","34","14","","","","",""
"","","ගම්පහ","","Flood","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","","","",""
"","5","fk;g`h","Wattala","","","2024.06.02","2946","11954","","","","","4","","","2","30","108",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","","","","",""
"","","Gampaha","","","","","","","","","","","","","","","","",""
"","","","Meerigama","","","2024.06.02","405","1566","","","","","29","13","","","","",""
"","","","minuwangoda","","","2024.06.02","64","253","","","","","17","","","2","19","74",""
"","","","Ja-Ela","","","2024.06.02","400","1612","","","","","19","4","","2","8","27",""
"","","","Divulapitiya","","","2024.06.02","142","487","","","","","27","","","","","",""
"","","","Katana","","","2024.06.02","131","430","","","","","","","","","","",""
"","","","From 2024.06.02","","","","","","","","","","","","","","","",""
"","","","","High wind","","2024.05.29","","","","","","","74","1","","","","",""
"","","","Situation 1600 hrs","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","14734","61188","1","0","0","0","241","37","0","12","402","1553",""
"","","","Colombo","","","2024.06.02","541","2078","","","","","3","","","1","125","400",""
"","","","Thimbirigasyaya","","","2024.06.02","10","56","","","","","","","","1","10","56",""
"","","","Homagama","","","2024.06.02","87","396","","","","","","","","4","14","33",""
"","","නකාළඹ","","","","","","","","","","","","","","","","",""
"","6","","Kolonnawa","","Flood","2024.06.02","99","373","","","","","","","","4","99","373",""
"","","nfhOk;G Colombo","","","","","","","","","","","","","","","","",""
"","","","Kaduwela","","","2024.06.02","1530","5822","","","","","","","","17","186","847",""
"","","","Padukka","","","2024.06.02","23","85","","","","","","","","1","12","42",""
"","","","Seethawaka","","","2024.06.02","1818","7132","3","","","","326","","","4","6","296",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","4108","15942","3","0","0","0","329","0","0","32","452","2047",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","","21738","88083","4","2","1","6","752","37","0","71","1116","4562",""
