"","Weather Forecast for Main Cities","","","","21-Jul-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","85","55","Mainly fair"
"Batticaloa","37","26","75","45","Mainly fair"
"Colombo","32","28","85","70","Several spells of showers"
"Galle","29","25","90","80","Several spells of showers"
"Jaffna","33","24","80","65","Mainly fair"
"Kandy","30","23","90","65","Several spells of showers"
"Nuwara-Eliya","19","14","95","80","Several spells of showers"
"Ratnapura","30","24","95","65","Several spells of showers"
"Trincomalee","35","26","80","45","Mainly fair"
"Mannar","31","27","90","75","Mainly fair"
