"","Weather Forecast for Main Cities","","","Date :","21-May-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","70","Several spells of light showers"
"Batticaloa","34","26","95","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","95","80","Showers or thundershowers at times"
"Galle","29","25","95","85","Showers or thundershowers at times"
"Jaffna","33","27","90","70","Mainly fair"
"Kandy","29","23","90","75","Showers or thundershowers at times"
"Nuwara-Eliya","18","15","95","85","Showers or thundershowers at times"
"Ratnapura","31","25","95","80","Showers or thundershowers at times"
"Trincomalee","33","26","90","65","Mainly fair"
"Mannar","32","28","90","70","A few showers"
