"Mawanella","","","","","","","","","","3","10","","","","","","2",""
"","High wind","","","","","","","","","","","","","","","","",""
"Dehiowita
කෑගල්ල","","","","","","","","","","3","12","","","","","","","3"
"1","","","","","","","","","","","","","","","","","",""
"Nffhiy   Kegalle
Mawanella","","","","","","","","","","27","64","","","","","","11","2"
"Warakapola","","","","","","","","1","2","3","12","","","","","","2","1"
"Bulathkohupitiya","2020.05.21","","","","","","","","","4","16","","","","","","1","1"
"Rambukkana","","","","","","","","","","3","10","","","","","","3",""
"Aranayaka","","","","","","","","","","1","5","","","","","","","1"
"Kegalle","","","","","","","","","","2","9","","","","","","1","1"
"Dehiowita","High wind","","","","","","","","","1","6","","","","","","","1"
"Mawanella","2020.05.22
Tree Fallan","","","","","","","","","1","5","","","","","","1",""
"Kegalle","Cutting Failure","","","","","","","","","1","4","","","","","","1",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","0","","0","0","","2","4","87","308","0","1","","0","1","49","17"
"Palmadulla","","","2","","7","31","","","","1407","5085","1","","","","14","1095",""
"Opanayaka","","","","","","","","","","372","1266","","","","","4","31",""
"Eheliyagoda","","","","","","","","","","6","20","","","","","","6",""
"Ayagama","","","","","","","","1","4","294","773","","","","","1","51",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","","",""
"rg;ufKt 
Embilipitiya","","","","","","","","","","10","37","","","","","","10",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"Rathnapura","","","1","","3","11","","","","2003","8173","2","","","","1","376",""
"Kahawattha","","","","","","","","3","12","48","203","","","","","","8",""
"Kiriella","","","","","","","","","","156","690","","","","","","11",""
"","Flood and","","","","","","","","","","","","","","","","",""
"Kalawana","2020.05.19","","","","","","","","","33","114","","","","","","28",""
"","Landslide","","","","","","","","","","","","","","","","",""
"Elapatha","","","","","","","","2","5","268","952","","","","","2","49",""
"Nivithigala","","","","","","","","","","86","280","","","","","","15",""
"Ibulpe
රත්නපුර ,uj;jpdGhp","","","","","","","","","","36","138","","","","","","35",""
"2","","","","","","","","","","","","","","","","","",""
"Rathnapura
Balangoda","","","2","","17","73","","","","302","1112","","","","","1","186",""
"Kolonna","","","","","","","","1","4","33","117","","","","","1","32",""
"Weligapola","","","","","","","","","","58","213","","","","","1","10",""
"Kuruvita","","","","","","","","10","36","92","360","","","","","","23",""
"Godakawala","","","","","","","","","","24","84","","","","","","23",""
"Ibulpe","High Wind","","","","","","","","","6","25","","","","","","6",""
"","2020.05.22","","","","","","","","","","","","","","","","",""
"Kiriella","Lightning","","","","","","","","","1","5","","","","","","1",""
"Rathnapura","2020.05.23","","","","","","","","","6","24","","","","","","6",""
"Kalawana","","","","","","","","","","2","6","","","","","","2",""
"Eheliyagoda","High Wind","","","","","","","","","1","4","","","","","","1",""
"","2020.05.24","","","","","","","","","","","","","","","","",""
"Nivithigala","","","","","","","","","","3","10","","","","","","3",""
"Opanayaka","","","","","","","","","","1","1","","","","","1","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","5","","27","115","","17","61","5248","19692","3","0","","0","26","2008","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","5","","27","115","","19","65","5335","20000","3","1","","0","27","2057","17"
"Minuwangoda","","","","","","","","","","1","4","","","","","","1",""
"","High wind
2020.05.19","","","","","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","1","3","","","","","","1",""
"Dompe","","","","","","","","","","1","3","","","","","","1",""
"Fire","2020.05.20","","","","","","","","","","","","","","","","",""
"Mahara
ගම්පහ","","","","","","","","","","","","","","","","","1",""
"3","","","","","","","","","","","","","","","","","",""
"Western           
fk;g`h Gampaha","","","","","","","","","","","","","","","","","",""
"Minuwangoda","","","","","","","","","","1","1","","","","","","1",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","","",""
"Aththanagalla","","","","","","","","","","4","25","","","","","","4",""
"බස්නාහිර පලාත","High wind
2020.05.21","","","","","","","","","","","","","","","","",""
"Meerigama","","","","","","","","","","1","3","","","","","","1",""
"Dompe","","","","","","","","","","1","2","","","","","","1",""
