"Ukuwela
High Wind
මධයම පලාත","2022.03.29","1","5","","","","","1","","","","",""
"මාතගල් 
kj;jpa","","","","","","","","","","","","",""
"Willgamuwa
Lightning","2022.04.03","3","11","","","","","3","","","","",""
"7
khj;jis","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"Matale","","1","6","","","","","1","","","","",""
"Matale
High Wind","2022.04.05","","","","","","","","","","","",""
"Central","","","","","","","","","","","","",""
"Rattota","","1","3","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","6","25","0","0","0","0","6","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","6","25","0","0","0","0","6","0","0","0","0","0"
"මුළු එකතුව/ nkhj;jf; $l;ly;/GRAND TOTAL","","95","358","2","2","0","39","52","0","0","3","47","168"
"","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
