"","Kahatagasdigiliya","High Wind","2023.04.20","1","5","","","","","1","","","","",""
"","Mihinthalaya","High Wind","2023.04.20","1","5","","","","","1","","","","",""
"","Horowpothana","High Wind","2023.04.20","1","4","","","","","1","","","","",""
"","Padaviya","High Wind","2023.04.20-21","17","49","","","","","17","","","","",""
"","Talawa","High Wind","2023.04.20-21","2","5","","","","","2","","","","",""
"","අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"","Palugaswewa","High Wind","2023.04.22","7","25","","","","","7","","","","",""
"උතුරුමැද පලාත 
7","m.Guk;","","","","","","","","","","","","","",""
"tlkj;jpa","Galenbindunuwewa","High Wind","2023.04.21-23","5","20","","","","","5","","","","",""
"","Anuradhapura","","","","","","","","","","","","","",""
"khfhzk; North","","","","","","","","","","","","","","",""
"","","High Wind & Rain","2023.04.20","10","32","","","","","10","","","","",""
"Central","Kebithigollewa","","","","","","","","","","","","","",""
"","","High Wind","2023.04.21","1","3","","","","","1","","","","",""
"","Medawachchiya","High Wind","2023.04.20","1","3","","","","","1","","","","",""
"","Rajanganaya","High Wind","2023.04.21","1","3","","","","","1","","","","",""
"","Thambuttegama","High Wind","2023.04.21","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","48","159","0","0","0","0","48","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","48","159","0","0","0","0","48","0","0","0","0","0"
"","Ukuwela","Heavy Rain","2023.04.21-24","42","155","","1","","1","41","3","","","",""
"","Rattota","Heavy Rain","2023.04.21-23","5","21","","","","","5","","","","",""
"","මාතගල්","","","","","","","","","","","","","",""
"8","khj;jis   
Dambulla","Heavy Rain","2023.04.22","5","21","","","","","5","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"","Matale","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"","Galewela","Heavy Rain","2023.04.22-23","3","14","","","","","3","","","","",""
"Central","","","","","","","","","","","","","","",""
"","Matale","Heavy Rain","2023.04.23","1","7","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","56","218","0","1","0","1","55","3","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","56","218","0","1","0","1","55","3","0","0","0","0"
"","හම්බනගතාට 
Okewela","High Wind","2023.04.23","2","6","","","","","2","","","","",""
"9","`k;ghe;Njhl;il","","","","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","",""
"","Hambantota
Ambalanthota","Crocodile Attack","2023.04.25","1","1","","1","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","7","0","1","0","0","2","0","0","0","0","0"
