"","තත්ත්ව වාර්තාව  - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 12th July 2021 at 1800hrs","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","",""
"","","","","","බලපෑමට ලක්වු","","","","","","","","","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","ghjpf;fg;gl;l","","","","","","","","","","","",""
"","","Administrative purview","","","","","","","","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","",""
"","","","","","Affected","","","","තුවාලවු","අතුරුදහ","","","","","","",""
"","","","","","","","","","","","Damaged","","","","","",""
"","","","","ආරම්භක දිනය","","","","","පුද්ගලයින්","න්වූ","","","","","","",""
"","","","","","","","මිය යෑම්","","","","","","කුඩා හා මධය","","","",""
"","","","ආපදාව","mdu;j;jk;","","","","","","පුද්ගලයින්","","","","","","",""
"පළාත","","","","","","","","","","","","පරිමාණ වයාපාරික","","","","",""
"","","","","","","","kuzq;f","","fhakil","fhzhky;","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","","ලවනත් කරුණු"
"khfhzk;","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","","","",""
"","","","","","","","s;","","e;NjhH","NghNdhH","","ස්ත්‍","රථාන சிறிய,","","","","NtW Fwpg;Gf;fs; Remarks"
"Province","","ප්‍රා.ලේ. ලකා","","","","","","","","","","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන  
පවුේ","",""
"","","","Disaster","Date of","පවුේ","","","","","","පූර්ණ 
අර්ධ හානි","","நடுத்தர,","","","",""
"","","දිස්ත්‍රික්කය","","","","පුද්ගලයින්","Deaths","","","","","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","gpuNjr nra.gp","","","ස්ත්‍ංඛ්‍යාව","","","","","","හානි 
gFjpas","","நிறுவனங் க","","","",""
"","","மாவட்டம்","","commenced","","egHfs;","","","Injured","Missing","","","","fl;likg;Gf;fs;","vz;zpf;i
FLk;gq;f","egHfs;",""
"","","","","","FLk;gq;fs;","","","","","","T 
KOik","","ளின்","","","",""
"","","DS","","","","People","","","People","People","","","Damages to","","s; 
f   No.","Persons",""
"","","District","","","Families","","","","","","Partially
Fully","","சேதங் கள்","","","",""
"","","Division","","","","","","","","","","","critical","","Families
of Safety","",""
"","","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","","","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","","","Damages","","","",""
"","","","","2021.07.10","20","73","","","","","20","","","","","",""
"","","Walapane","High Wind","","","","","","","","","","","","","",""
"","","","","2021.07.12","9","23","","","","","9","","","","","",""
"","","","","2021.07.10","1","4","","","","","1","","","","","",""
"","","","Cutting Failure","","","","","","","","","","","","","",""
"","","","","","4","22","","","","","4","","","","","",""
"","","NuwaraEliya","","","","","","","","","","","","","","",""
"","","","Flash flood","2021.07.12","9","55","","","","","9","","","","","",""
"","","","High wind","","7","35","","","","","7","","","","","",""
"","","නුවරඑලිය","","","","","","","","","","","","","","",""
"","1","Etnuypah","Cutting Failure","","9","51","","","","","9","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","","","","","",""
"","","","Flood","","101","401","","","","","","","","","","",""
"","","","","2021.07.10","","","","","","","","","","","","",""
"","","","Landslide Risk","","11","39","","","","","1","","","","","",""
"","","Ambagamuwa","","","","","","","","","","","","","","",""
"","","","High Wind","","2","10","","","","","2","","","","","",""
"","","","Cutting Failure","","17","68","","","","","15","","","","","",""
"","","","","2021.07.12","","","","","","","","","","","","",""
"","","","High wind","","8","32","","","","","","","","","","",""
"","","Kothmale","High Wind","","11","30","","","","","11","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","209","843","","0","0","0","0
88","","0","0","0
0","0",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","","",""
"","","Harispaththuwa","High Wind","","3","15","","","","","3","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","Ganga Ihala Korale","Heavy Rain","","6","26","","1","","","2","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","Pasbage Korale","Flood","","256","1104","","","","","","","","","","",""
"","","Pathadumbara","","","1","5","","","","","1","","","","","",""
"","","Udunuwara","","","4","16","","","","","4","","","","","",""
"","","Hatharaliyadda
නුවර          fz;b","","","3","11","","","1","","3","","","","","",""
"","2","","","2021.07.10","","","","","","","","","","","","",""
"","","Kandy
Medadumbara","","","2","10","","","","","2","","","","","",""
"","","","High Wind & Heavy","","","","","","","","","","","","","",""
"","","Thumpane","","","3","15","","","","","3","","","","","",""
"","","","Rain","","","","","","","","","","","","","",""
"","","Pathahewaheta","","","2","9","","","","","2","","","","","",""
"","","Gangawata korale","","","4","16","","","","","4","","","","","",""
"","","Yatinuwara","","","6","24","","","","","6","","","","","",""
"","","Minipe","","","4","19","","","","","4","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","294","1270","","1","1","0","0
34","","0","0","0
0","0",""
