"","අනුරාධ්‍පුර/m.Guk;/","Thambuttegama","","","","","","","","","","1","5","18"
"උතුරුමැද","8","Flood","2023.12.16","","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","",""
"පලාත/tlkj;jpa","","Galnewa","","","","","","","","","","1","2","7"
"khfhzk;/ North","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","","","","","","","","",""
"","","","0","0","0","0","0","0","0","0","0","2","7","25"
"Central","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","0","0","0","0","0","0","0","0","0","2","7","25"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","2256","7181","0","0","0","0","32","1","0","25","490","1625"
"","","","","","ආපදා කළම ාකරණ මධ්‍යස්ත්‍රථා ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
