"","Weather Forecast for Main Cities","","","Date :","1-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","85","50","Mainly fair"
"Batticaloa","34","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","85","75","A few showers"
"Galle","29","26","90","80","A few showers"
"Jaffna","33","25","85","65","Mainly fair"
"Kandy","29","24","85","70","Several spells of showers"
"Nuwara-Eliya","18","15","95","80","Several spells of showers"
"Ratnapura","33","25","90","70","Several spells of showers"
"Trincomalee","36","26","75","45","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","80","Mainly fair"
