"","Homagama","117","371","","","","","117","","","","",""
"","Kasbawa","23","96","","","","","23","","","","",""
"","Padukka","6","25","","","","","7","5","","","",""
"","Moratuwa","24","95","","","","","23","1","","","",""
"නකොළඹ","","","","","","","","","","","","",""
"","Heavy Rain and","","","","","","","","","","","",""
"Western/ 
13
nfhOk;G","Rathmalana","2018.07.11
76","368","","","","","76","","","","",""
"","High Wind","","","","","","","","","","","",""
"Nky; 
Colombo","","","","","","","","","","","","",""
"","Thimbirigasyaya","1","5","","1","","","1","","","","",""
"khfhzk;බ","","","","","","","","","","","","",""
"ස් ාහිර පලාත","Sri Jayawardhanepura","1","4","","","","","1","","","","",""
"","Maharagama","5","22","","","","","5","","","","",""
"","Dehiwala","32","113","","","","11","21","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","285","1099","0","1","0","11","274","6","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","285","1099","0","1","0","11","274","6","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","102942","351740","0","4","6","13","343","8","1","6","31","136"
