"","Weather Forecast for Main Cities","","","Date :","19-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","95","55","Mainly fair"
"Batticaloa","31","25","90","75","Several spells of showers"
"Colombo","31","24","95","75","Showers or thundershowers after 2.00p.m"
"Galle","31","24","90","65","Showers or thundershowers after 2.00p.m"
"Jaffna","34","24","95","70","Mainly fair"
"Kandy","31","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","12","95","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","75","Several spells of showers"
"Mannar","34","26","90","70","Showers or thundershowers are likely after 2.00p.m"
