"","Weather Forecast for Main Cities","","","","3-Nov-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","95","80","Showers or thundershowers"
"Colombo","31","24","95","70","Showers or thundershowers after 2.00p.m"
"Galle","28","25","95","85","Showers or thundershowers"
"Jaffna","30","24","95","75","Showers at times"
"Kandy","29","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","14","95","85","Showers or thundershowers after 2.00p.m"
"Ratnapura","31","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","75","Showers or thundershowers"
"Mannar","31","25","95","75","Showers or thundershowers"
