"","Weather Forecast for Main Cities","","","Date :","4-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","85","50","Mainly fair"
"Batticaloa","37","26","75","45","Mainly fair"
"Colombo","31","27","80","65","A few showers"
"Galle","29","26","85","70","A few showers"
"Jaffna","34","27","85","60","Mainly fair"
"Kandy","30","23","85","60","A few showers"
"Nuwara-Eliya","19","14","85","70","Mainly fair"
"Ratnapura","33","25","85","65","A few showers"
"Trincomalee","36","26","75","45","Mainly fair"
"Mannar","32","28","85","65","Mainly fair"
