"","Weather Forecast for Main Cities","","","Date :","2024-09-23"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","50","Mainly fair"
"Batticaloa","38","25","75","30","Mainly fair"
"Colombo","31","27","80","65","Several spells of showers"
"Galle","30","26","80","55","Several spells of showers"
"Jaffna","33","27","90","60","Mainly fair"
"Kandy","29","26","90","75","A few showers"
"Nuwara-Eliya","18","13","90","75","A few showers"
"Ratnapura","33","23","95","65","Several spells of showers"
"Trincomalee","37","26","80","40","Mainly fair"
"Mannar","31","28","80","65","Mainly fair"
