"","Weather Forecast for Main Cities","","","Date :","13-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","21","95","60","Mainly fair"
"Batticaloa","30","23","95","80","Mainly fair"
"Colombo","32","25","90","55","Mainly fair"
"Galle","31","24","95","65","Mainly fair"
"Jaffna","32","22","95","70","Mainly fair"
"Kandy","31","20","90","65","Mainly fair"
"Nuwara-Eliya","22","09","90","65","Mainly fair"
"Ratnapura","36","22","95","65","Mainly fair"
"Trincomalee","30","25","95","60","Mainly fair"
"Mannar","31","23","90","70","Mainly fair"
