"","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","","","","","",""
"","District
DS Division","","","Families","People","","People","g","","","","","","","","s; 
Persons",""
"","","","","","","","","","Fully","Partiall","Small, Medium,","","Damages to","","of Safety","",""
"","","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","","y","Enterprises","","critical","","Location","",""
"","","","","","","","","","","","Damages","","Infrastructure","","s","",""
"","නුවරඑලිය 
Nuwaraeliya","Fire","2020.08.11","35","125","","","","24","","","","","","1","35","125 Muththumari Amman Kovil"
"","1
Etnuypah","","","","","","","","","","","","","","","",""
"","Abagamuwa
Nuwara Eliya","High Wind","2020.09.21","39","153","","","","","39","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","74","278","0","0","0","24","39","","0","","0","1","35","125"
"","Ududumbara","High Wind","2020.09.20","5","15","","","","","5","","","","","","",""
"","","","2020.09.22","2","7","","","","","2","","","","","","",""
"","Hatharaliyadda","Hiigh Wind & Heavy Rain","","","","","","","","","","","","","","",""
"","","","2020.09.20","1","5","","","","","1","","","","","","",""
"","","","2020.09.18","1","3","","","","","1","","","","","","",""
"","Yatinuwara","High Wind","","","","","","","","","","","","","","",""
"","","","2020.09.23","1","5","","","","","1","","","","","","",""
"","","Heavy Rain","","4","23","","","","","1","","","","","","",""
"","Pasbage korale","","2020.09.21","","","","","","","","","","","","","",""
"","","High Wind","","2","10","","","","","2","","","","","","",""
"","","Landslide","","5","23","3","2","","2","3","","","","","","",""
"","Gangawata Korale","","2020.09.20","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","Heavy Rain","","2","5","","","","","2","","","","","","",""
"kj;jpa khfhzk","නුවර","","","","","","","","","","","","","","","",""
"","Doluwa","Heavy Rain","","1","4","","","","","1","","","","","","",""
"Central","2
fz;b","","","","","","","","","","","","","","","",""
"","Kandy","High Wind","2020.09.21","1","1","","","","","1","","","","","","",""
"","Harispattuwa","","","","","","","","","","","","","","","",""
"","","Rock Fallen","","1","6","","","","","1","","","","","","",""
"","","","2020.09.19","1","5","","","","","1","","","","","","",""
"","Pathahewaheta","High Wind&Wall Fallen","2020.09.20","3","10","","","","","3","","","","","","",""
"","","","2020.09.21","1","6","","","","","1","","","","","","",""
"","Panwila","","2020.09.20","5","24","","","","","5","","","","","","",""
"","","High Wind&Heavy Rain","2020.09.19","1","4","","","","","1","","","","","","",""
"","Kundasale","","","","","","","","","","","","","","","",""
"","","","2020.09.21","2","8","","","","","2","","","","","","",""
"","Minipe","High Wind","2020.09.18","2","4","","","","","2","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","41","168","3","2","0","2","36","","2","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","115","446","3","2","0","26","75","","2","","0","1","35","125"
"","බදුල්ල      
Welimada","Fire","2020.08.17","12","54","","","","12","","","","","","1","12","54 Alakolagala Day Care Centre"
"","3
gJs;is","","","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","",""
"","Ridimaliyedda
Badulla","Tree Fallen","2020.09.18","1","5","","1","","","1","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","",""
"Uva","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","59","0","1","0","12","1","","0","","0","1","12","54"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13","59","0","1","0","12","1","","0","","0","1","12","54"
"","","Rock Fallen","","1","5","","","","","1","","","","","","",""
"","Kahawatta","","","","","","","","","","","","","","","",""
"","","High Wind","","1","5","","","","","1","","","","","","",""
"","","Tree Fallen","","3","8","","","","","3","","","","","","",""
"","Pelmadulla","","2020.09.20","","","","","","","","","","","","","",""
"","","Subsidence","","3","12","","","","","3","","","","","","",""
"","Kalawana
රත්නපුර","Wind","","2","8","","","","","","","","","","","",""
"","4
,uj;jpdGhp 
Godakawela","Subsidence","","1","3","","","","","","","","","","","",""
"","Rathnapura
Balangoda","High Wind","","27","79","","","","","27","","","","","","",""
"","Nivithigala","High Wind & Heavy rain","","8","25","","","","","7","","","","","","",""
"","","","2020.09.21","","","","","","","","","","","","","",""
"","","High Wind","","6","25","","","","","6","","","","","","",""
"","Kuruvita","","","","","","","","","","","","","","","",""
"","","Heavy Rain","","1","1","","","","","1","","","","","","",""
"","Kahawatta","Cutting Failure","2020.09.22","1","5","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","54","176","0","0","0","0","50","","0","","0","0","0","0"
