"","Weather Forecast for Main Cities","","","Date :","8-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Mainly fair"
"Batticaloa","34","26","85","60","Mainly fair"
"Colombo","31","28","85","70","Several spells of light showers"
"Galle","30","28","90","80","Several spells of light showers"
"Jaffna","34","29","80","65","Mainly fair"
"Kandy","30","22","95","60","Several spells of light showers"
"Nuwara-Eliya","21","14","85","70","Several spells of light showers"
"Ratnapura","34","24","95","65","Several spells of showers"
"Trincomalee","34","26","85","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","29","80","70","Mainly fair"
