"","Weather Forecast for Main Cities","","","Date :","29-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","22","95","75","Showers or thundershowers at times"
"Batticaloa","28","23","95","80","Showers or thundershowers at times"
"Colombo","31","24","95","75","Showers or thundershowers"
"Galle","28","24","95","85","Showers or thundershowers at times"
"Jaffna","30","24","90","75","Several spells of showers"
"Kandy","27","19","95","80","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","10","95","85","Showers or thundershowers at times"
"Ratnapura","30","22","95","85","Showers or thundershowers at times"
"Trincomalee","27","24","90","75","Showers or thundershowers"
"Mannar","28","25","85","65","Showers or thundershowers after 2.00p.m"
