"","","","","","","","Missing","හානි","gFjpas","","","","","","","",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","People","","","","நிறுவனங்களின்","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","","egHfs;"
"மாவட்டம் District","","","","","","","People","KOik","T","","","","","","","",""
"","","","Families","People","","","","","","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons"
"Division","","","","","","","","Fully","Partially","","","","","","","",""
"","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","Damages","","","","","","",""
"Balangoda","","2022.06.05","1","4","","","","1","","","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","","","",""
"1
,uj;jpdGhp 
Kahawattha","Heavy Rain & Wind","2022.06.05","2","7","","","","","2","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","","",""
"Nivithagala","","2022.06.06","4","19","","","","","4","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","7","30","0","0","0","1","6","","0","","0","0","","0","0"
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","",""
"Warakapola","Cutting Faliure","2022.06.03","4","14","","","","","4","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"කෑගල්ල     
Aranayaka","Collapse of a Wall","2022.06.02","1","6","","","","","1","","","","","","","",""
"Sabaragamuwa
Nffhiy","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","",""
"Kegalle","","2022.06.02","1","4","","","","","1","","","","","","","",""
"Mawanella","Tree Fallen","","","","","","","","","","","","","","","",""
"","","2022.06.06","1","4","","","","","1","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","7","28","0","0","0","0","7","","0","","0","0","","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","14","58","0","0","0","1","13","","0","","0","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","14","58","0","0","0","1","13","","0","","0","0","","0","0"
