"උතුරු පලාත","","","","","","","","","","","","","","",""
"කිලින ාච්චිය","","","","","","","","","","","","","","",""
"tl khfhzk;  
6
fpspnehr;rp","","","","","","","","","","","","","","",""
"Northen
Killinochchi","Kandawalai","Heavy Rain","2022.10.22","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","9","0","0","0","0","2","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","9","0","0","0","0","2","0","0","0","0","0"
"","Dodangoda","","2022.10.13-23","29","113","","","","","13","","","","",""
"","Ingiriya","","2022.10.13-18","9","39","","","","","5","","","","",""
"","Horana","","2022.10.13-22","3","13","","","","","3","","","","",""
"","Beruwala","","2022.10.13-23","75","258","","","","","14","","","","",""
"","Millaniya","","2022.10.13-23","34","118","","1","","","14","","","","",""
"","Mathugama","","2022.10.13/23","210","779","","2","","1","64","6","","","",""
"කළුතර","Madurawela","","2022.10.13-18","11","29","","","","1","10","","","","",""
"7","","Heavy Rain","","","","","","","","","","","","",""
"","fSj;Jiw Kalutara","","","","","","","","","","","","","",""
"","Bandaragama","","2022.10.14/15","5","23","","","","","5","","","","",""
"","Bulathsinhala","","2022.10.14-18","18","59","","","","1","13","","","","",""
"","Walallawita","","2022.10.13-23","24","95","","","","","24","","","","",""
"","Palinda Nuwara","","2022.10.15-20","2","4","","","","","2","","","","",""
"","Agalawatta","","2022.10.20","4","14","","","","","4","","","","",""
"","Panadura","","2022.10.23","45","160","","","","","","","","","",""
"","Kalutara","","2022.10.13-23","219","998","","","","","12","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","688","2702","0","3","0","3","183","6","0","0","0","0"
"Western","Ja Ela","Flood","2022.10.22","","","","","","","1","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","",""
"","Waththala","Flood / Heavy Rain","2022.10.22","","","","","","","6","","","","",""
"බස්ත්‍ර ාහිර පලාත","","","","","","","","","","","","","","",""
"","Mahara","","2022.10.21-24","2","8","","","","1","5","","","","",""
"","","Heavy Rain / High Wind","","","","","","","","","","","","",""
"ෙම්පහ","Minuwangoda","","2022.10.21","","","","","","","2","","","","",""
"8
fk;g`h","","","","","","","","","","","","","","",""
"","Kelaniya","Flood","2022.10.23","173","845","","","","","1","","","","",""
"Gampaha","","","","","","","","","","","","","","",""
"","Aththanagalla","Tree Fallen","2022.10.25","","","","","","","2","","","","",""
"","Gampaha","","2022.10.24","4","15","","","","","","","","","",""
"","","Flood","","","","","","","","","","","","",""
"","Meerigama","","2022.10.24","2","6","","","","","2","","","","",""
"","Dompe","Tree Fallen","2022.10.24","2","7","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","183","881","0","0","0","1","21","0","0","0","0","0"
"","Kolonnawa","Cutting Failure","2022.10.14","5","18","","","","","","","","1","5","18 Meethotamulla Navy"
"","","","","","","","","","","","","","","","Ground pavilion"
"නකාළඹ","","","","","","","","","","","","","","",""
"9","Thimbirigasyaya","Flash Flood","2022.10.14","178","707","","","","","","","","1","13","50 Wanathamulla Mohomad Community"
"","nfhOk;G   Colombo","","","","","","","","","","","","","",""
"","Kaduwela","Flash Flood","2022.10.14","121","503","","","","","","","","2","13","48  1.Welangahawatta Community 
hall"
"","Colombo","Collapse Wall","2022.10.22","1","","1","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","305","1228","1","0","0","0","0","0","0","4","31","116"
