"","Weather Forecast for Main Cities","","","Date :","11-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","22","95","70","Showers or thundershowers"
"Batticaloa","28","25","95","80","Showers or thundershowers"
"Colombo","31","24","90","65","Showers or thundershowers after 2.00p.m"
"Galle","29","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","90","70","Showers at times"
"Kandy","29","21","95","60","Showers or thundershowers"
"Nuwara-Eliya","20","14","95","70","Showers or thundershowers"
"Ratnapura","33","23","90","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","25","95","70","Showers or thundershowers"
"Mannar","29","26","90","70","Showers at times"
