"","","Page 2","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Eravur Pattu","674","2027","1","","","",""
"","2021.01.11","","","","","",""
"Kattankudy","401","1477","1","","","",""
"Manmunai Pattu","147","455","1","","","",""
"මඩකලපුව/kl;lf;f","","","","","","",""
"6
Flood","","","","","","",""
"sg;G/ Batticaloa
Manmunai South West","68","198","1","","","",""
"නැගෙනහිර පලාත","","","","","","",""
"fpof;F     Eastern","","","","","","",""
"","","","","","","","Sanjivi preschool /"
"Porathivupatthu","162","482","","3","89","267","Pillayaar Kovil /"
"","","","","","","","Kuulaaveli Malai"
