"","","","","","","","","","","","Damaged","","","","","","",""
"","","","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","",""
"","","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","",""
"","","","","","","","","මිය යෑම්","","","","","","","","","",""
"පළාත","","","","ආපදාව","mdu;j;jk;","","","","fhakil","පුද්ගලයින්","","","කුඩා හා මධය පරිමාණ","","","","",""
"","","","","","","","","kuzq;f","","","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","","","ලවනත් කරුණු                 NtW"
"khfhzk;","#","","","mdHj;jk","Muk;gpj;j","","","","e;NjhH","fhzhky;","","","වයාපාරික ස්ත්‍රථාන","","","","",""
"","","","","","","","","s;","","","","","","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","","","Fwpg;Gf;fs; Remarks"
"Province","","","","Disaster","jpfjp    Date","","","","","NghNdhH","","","சிறிய,","","","පවුේ","",""
"","","","","","","පවුේ","","Deaths","","","පූර්ණ","අර්ධ හානි","","","","","",""
"","","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","of commenced","","පුද්ගලයින්","","Injured","Missing","","","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","","","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் களின்","","","","",""
"","","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","People","People","","","","fl;likg;Gf;fs;","vz;zpf;if","FLk;gq;f","egHfs;",""
"","","","","","","FLk;gq;fs;","","","","","KOik","T","சேதங் கள்","","","","",""
"","","District","Division","","","","People","","","","","","","Damages to","No. of","s;","Persons",""
"","","","","","","Families","","","","","Fully","Partially","Small, Medium,","","","","",""
"","","","","","","","","","","","","","","critical","Safety","Families","",""
"","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","","Infrastructure","Locations","","",""
"","","","","","","","","","","","","","Damages","","","","",""
"","","","Point pedro","","2021.01.11","66","255","","","","","","","","","","",""
"","","","Chavakachcherei","Flood","2021.01.12","47","155","","","","","47","","","","","",""
"","","","Sandilipay","","2021.01.11/12","51","185","","","","","6","","","","","",""
"","","යාපනය","","","","","","","","","","","","","","","",""
"","1","aho;g;ghzk;","Uduvil","","","1","5","","","","","1","","","","","",""
"උතුරු පලාත","","","","Heavy Rain","2021.01.12","","","","","","","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","","",""
"tl khfhzk","","","Nallur","","","1","3","","","","","1","","","","","",""
"Northen","","","","","","","","","","","","","","","","","",""
"","","","Maruthankerny","","2021.01.12","190","435","","","","","","","","","","",""
"","","","","Flood","","","","","","","","","","","","","",""
"","","","Kopay","","2021.01.12","2","9","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","358","1047","0","0","0","0","57","0","0","0","","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","358","1047","0","0","0","0","57","0","0","0","","0","0"
