"","Weather Forecast for Main Cities","","","Date :","2-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","50","Mainly fair"
"Batticaloa","34","26","85","60","Mainly fair"
"Colombo","31","27","95","75","A few showers"
"Galle","29","27","90","85","A few showers"
"Jaffna","34","26","80","65","Mainly fair"
"Kandy","29","24","85","70","A few showers"
"Nuwara-Eliya","18","14","95","80","A few showers"
"Ratnapura","34","25","95","65","A few showers"
"Trincomalee","36","27","80","45","Mainly fair"
"Mannar","32","27","90","75","Mainly fair"
