"Mawanella","","2022.02.07","1242","4524","","","","",""
"දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","1639","6324","0","0","0","0","0"
"Palmadulla","","2022.03.09","2","7","","","","","2"
"","High Wind","2022.03.10","1","5","","","","","1"
"Nivithigala","","","","","","","","",""
"","","2022.03.11","1","3","","","","","1"
"","Lightning","","2","8","","","","","2"
"","","2022.03.11","","","","","","",""
"Kiriella","High Wind","","2","9","","","","","2"
"","High Wind","","2","7","","","","","2"
"","","2022.03.10","","","","","","",""
"Kahawaththa","Fire","","1","3","","","","","1"
"ස්ත්‍බරගමුව","","","","","","","","",""
"","Cutting Failure","2022.03.11","1","4","","","","","1"
"පලොත","","","","","","","","",""
"Godakawela
rg;ufKt","High Wind","2022.03.14","1","5","","","","","1"
"රත්නපුර            
Sabaragamuwa","","","","","","","","",""
"","Heavy Rain","2022.03.15","1","4","","","","1",""
"2
,uj;jpdGhp","","","","","","","","",""
"Rathnapura","Heavy Rain","2022.03.11","1","2","","","","","1"
"Balangoda","","","","","","","","",""
"","Cutting Failure","2022.03.12","2","8","","","","","2"
"","High Wind","2022.03.11","2","8","","1","","","2"
"Kuruwita","","","","","","","","",""
"","","2022.03.12","1","4","","","","","1"
"","Lightning","","","","","","","",""
