"","Weather Forecast for Main Cities","","","Date :","16-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","21","90","50","Mainly fair"
"Batticaloa","30","23","90","60","Mainly fair"
"Colombo","31","24","90","60","Mainly fair"
"Galle","32","25","90","65","Mainly fair"
"Jaffna","32","18","95","60","Mainly fair"
"Kandy","31","17","95","45","Mainly fair"
"Nuwara-Eliya","22","8","75","20","Mainly fair"
"Ratnapura","35","22","90","50","Mainly fair"
"Trincomalee","31","21","85","60","Mainly fair"
"Mannar","32","22","90","60","Mainly fair"
