"","khtl;lk ;","","","","FLk;gq;f","egHfs;","","","","","","","","","","egHfs; 
FLk;gq;",""
"","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","","if","",""
"","District","","","","s;","People","","People","g","","","","","","","fs; 
Persons",""
"","","","","","","","","","","","Partiall","Small, Medium,","Damages to","","Safety","",""
"","","","","","","","","","People","Fully","","","","","","",""
"","","","","","Families","","","","","","","Enterprises","","","","Families",""
"","","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","","Damages","Infastructure","","","",""
"","","","","","","","","","","","","","","","s","",""
"","","Delft","Drought","2018.03.05","1031","3071","","","","","","","","","","",""
"","","Velanai","","2018.04.03","2721","9508","","","","","","","","","","",""
"","","Kaits","","2018.03.06","2147","7293","","","","","","","","","","",""
"","","","","2018.03.04","3559","10658","","","","","","","","","","",""
"","","Kareinagur","","","","","","","","","","","","","","",""
"","","","","2018.08.14","17","68","","","","","17","","","","","",""
"","","","High Wind","","","","","","","","","","","","","",""
"","","","","2018.08.14","1","5","","","","1","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","",""
"","","","Drought","2018.03.12","40","178","","","","","","","","","","",""
"","","","","2018.03.04","319","1101","","","","","","","","","","",""
"","","Nallur","","","","","","","","","","","","","","",""
"","","","High Wind","2018.08.15","1","2","","","","1","","","","","","",""
"","","","Drought","2018.03.12","1775","6415","","","","","","","","","","",""
"","","Kopai","","","","","","","","","","","","","","",""
"","","","","2018.08.14","4","16","","","","","4","","","","","",""
"","","","High Wind","","","","","","","","","","","","","",""
"","","","","2018.08.15","13","43","","","","2","11","","","","","",""
"","","Chekanai","","","","","","","","","","","","","","",""
"","යාපනය","","Drought","2018.03.12","1528","5114","","","","","","","","","","",""
"","1
aho;g;ghzk;","","","","","","","","","","","","","","","",""
"","","","High Wind","2018.08.15","5","22","1","","","","3","1","","","","",""
"","Jaffna","","","","","","","","","","","","","","","",""
"","","Sandilipai","Boat Accident","2018.08.14","1","4","1","","","","","","","","","",""
"","","","Drought","2018.03.12","1635","6253","","","","","","","","","","",""
"","","Uduvil","","","583","2288","","","","","","","","","","",""
"","","Telippalay","","","1755","5644","","","","","","","","","","",""
"","","","","2018.08.14","1","2","","","","","","1","","","","",""
"","","Chawakachcheri","High Wind","","","","","","","","","","","","","",""
"","","","","2018.03.12","11640","47198","","","","","","","","","","",""
"","","Karaweddi","Drought","","674","2124","","","","","","","","","","",""
"","","Point pedro","","","300","990","","","","","","","","","","",""
"","","","","","697","2308","","","","","","","","","","",""
"","","Maruthankerny","","","","","","","","","","","","","","",""
"","","","","2018.08.15","3","6","","","","1","2","","","","","",""
"","","","","","","","","","","","","","","","","","The two fishermen who"
"","","","High Wind","","","","","","","","","","","","","",""
"","","Thellipalai","","2018.06.14","4","13","","","2","","2","","","","","","went for fishing are"
"","","","","","","","","","","","","","","","","","missing since 10/06/2018"
"උතුරු","","","","","","","","","","","","","","","","",""
"පලාත/tl","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","30454","110324","2","0","2","5","39","2","","0","0","0","0"
"khfhzk;/","","","High Wind","2018.08.16","1","5","","","","","1","","","","","",""
"","","Vengalacheddikulam","","","","","","","","","","","","","","",""
"Northen/","","","","2018.03.14","1394","5160","","","","","","","","","","",""
"","වව්නියාව","","","","","","","","","","","","","","","",""
"","2
tTdpah","Vavuniya North","","2018.04.09","115","446","","","","","","","","","","",""
"","","","Drought","","","","","","","","","","","","","",""
"","Vavuniya","Vavuniya South","","2018.05.05","171","474","","","","","","","","","","",""
"","","Vavuniya","","2018.07.09","294","1196","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1975","7281","0","0","0","0","1","0","","0","0","0","0"
"","","Karachchi","Drought","2018.06.03","15368","52547","","","","","","","","","","",""
"","කිලිනනොච්චිය","","","2018.04.04","1588","5418","","","","","","","","","","",""
"","","Kandawalai","","","","","","","","","","","","","","",""
"","3
fpspnehr;rp","","High Wind","2018.08.15","2","5","","","","2","","","","","","",""
"","Killinochchi","Poonakary","Drought","2018.04.04","4525","16046","","","","","","","","","","",""
"","","Pachchilaipallai","","","2618","7876","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","24101","81892","0","0","0","2","0","0","","0","0","0","0"
"","","Mannar Town","","","12587","43491","","","","","","","","","","",""
"","මන්නාරම","Nanattan","","","3870","12222","","","","","","","","","","",""
"","4
kd;dhH","Musali","Drought","2018.06.20","3722","14627","","","","","","","","","","",""
"","Mannar","Manthhai West","","","5211","18507","","","","","","","","","","",""
